"company_id","plantcount","carbon_future","carbon_past","carbon_present","energy_future","energy_past","energy_present","intensity_future","intensity_past","intensity_present","share_fos_future","share_fos_past","share_fos_present","share_hyd_future","share_hyd_past","share_hyd_present","share_nuc_future","share_nuc_past","share_nuc_present","share_ren_future","share_ren_past","share_ren_present","company_name","country","iso3","symbol","link"
1,2,1165.8,2415.9,1165.8,2004.9,6290.6,2004.9,581,384,581,1,1,1,0,0,0,0,0,0,0,0,0,"'T DE GEUS HOLDING BV","Netherlands","NLD",,
2,1,230.2,197.18,230.2,738.45,513.43,738.45,312,384,312,1,1,1,0,0,0,0,0,0,0,0,0,"'T LOON CHP","Netherlands","NLD",,
3,1,298.22,141.54,298.22,496.09,368.54,496.09,601,384,601,1,1,1,0,0,0,0,0,0,0,0,0,"'T WAAIJER GREENHOUSE","Netherlands","NLD",,
8,,0,,,17574,,,0,,,0,,,0,,,0,,,1,,,"20TH CENTURY FINANCE CORP","India","IND",,
10,1,0,0,0,4013.4,3762,4013.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"2B AG","Switzerland","CHE",,
11,1,1897.6,3145.2,1897.6,1868.6,2690.7,1868.6,1020,1170,1020,1,1,1,0,0,0,0,0,0,0,0,0,"3 SUISSES","France","FRA",,
12,,0,,,544700,,,0,,,0,,,1,,,0,,,0,,,"3986314 CANADA INC","Canada","CAN",,
13,1,0,0,0,8037.6,7808.5,8037.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"3C WASTE LTD","United Kingdom","GBR",,
14,,0,,,69082,,,0,,,0,,,0,,,0,,,1,,,"3CI ENERGIE EOLIENNE","Canada","CAN",,
16,1,1326.9,,1326.9,1705.9,,1705.9,778,,778,1,,1,0,,0,0,,0,0,,0,"3M ESPE AG","Germany","DEU",,
19,1,0,,0,88739,,88739,0,,0,0,,0,0,,0,0,,0,1,,1,"4ENERGY INVEST SA","Belgium","BEL",,
24,2,137.58,219.58,137.58,139.16,170,139.16,989,1290,989,1,1,1,0,0,0,0,0,0,0,0,0,"A & N ELECTRIC COOP","United States","USA",,
25,1,0,0,0,302.27,353.91,302.27,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"A ARSAC","France","FRA",,
26,1,0,0,0,367.78,344.03,367.78,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"A DE BUYER & CIE","France","FRA",,
28,,1064400,,,2366500,,,450,,,1,,,0,,,0,,,0,,,"A EPSTEIN ENGINEERS","Israel","ISR",,
29,1,748.56,632.41,748.56,736.95,624.3,736.95,1020,1010,1020,1,1,1,0,0,0,0,0,0,0,0,0,"A FISH LTD","Bangladesh","BGD",,
30,1,0,0,0,226.67,338.42,226.67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"A GOLDBECK","Germany","DEU",,
31,1,2284.1,1708.9,2284.1,3410.2,2339.9,3410.2,670,730,670,1,1,1,0,0,0,0,0,0,0,0,0,"A HEINISCH GMBH","Germany","DEU",,
32,1,0,0,0,803.63,1101.5,803.63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"A MARTENS","Germany","DEU",,
33,1,138.64,418.78,138.64,444.74,1090.4,444.74,312,384,312,1,1,1,0,0,0,0,0,0,0,0,0,"A MEEUWISSEN","Netherlands","NLD",,
34,1,1665.9,4139.3,1665.9,2487.5,6920.2,2487.5,670,598,670,1,1,1,0,0,0,0,0,0,0,0,0,"A PEARSON & SONS","United Kingdom","GBR",,
35,,0,,,16257,,,0,,,0,,,1,,,0,,,0,,,"A POWER HIMALAYAS","India","IND",,
36,1,0,0,0,84.622,64.514,84.622,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,"A PRESCHLIN","Switzerland","CHE",,
37,2,1072.9,893.66,1072.9,1837.8,1474.7,1837.8,584,606,584,0.8246,0.7517,0.8246,0.1754,0.2483,0.1754,0,0,0,0,0,0,"A SCHONBORN KUNSTMUHLE & ELEK","Germany","DEU",,
38,1,0,0,0,166.04,260.82,166.04,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"A STEGERHOFF","Germany","DEU",,
39,1,0,0,0,226.67,338.42,226.67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"A WILMING","Germany","DEU",,
