TZ_id;Year;start_dst_date;end_dst_date
343;1970;31/05/1970;27/09/1970
343;1971;23/05/1971;26/09/1971
343;1972;28/05/1972;1/10/1972
343;1973;3/6/1973;30/09/1973
343;1974;26/5/1974;29/09/1974
343;1975;1/6/1975;28/09/1975
343;1976;30/05/1976;26/09/1976
343;1977;22/05/1977;25/09/1977
343;1978;28/05/1978;1/10/1978
343;1979;27/05/1979;30/09/1979
343;1980;6/4/1980;28/09/1980
343;1981;29/03/1981;27/09/1981
343;1982;28/03/1982;26/09/1982
343;1983;27/03/1983;25/09/1983
343;1984;25/03/1984;30/09/1984
343;1985;31/03/1985;29/09/1985
343;1986;30/03/1986;28/09/1986
343;1987;29/03/1987;27/09/1987
343;1988;27/03/1988;25/09/1988
343;1989;26/03/1989;24/09/1989
343;1990;25/03/1990;30/09/1990
343;1991;31/03/1991;29/09/1991
343;1992;29/03/1992;27/09/1992
343;1993;28/03/1993;26/09/1993
343;1994;27/03/1994;25/09/1994
343;1995;26/03/1995;24/09/1995
343;1996;31/03/1996;27/10/1996
343;1997;30/03/1997;26/10/1997
343;1998;29/03/1998;25/10/1998
343;1999;28/03/1999;31/10/1999
343;2000;26/03/2000;29/10/2000
343;2001;25/03/2001;28/10/2001
343;2002;31/03/2002;27/10/2002
343;2003;30/03/2003;26/10/2003
343;2004;28/03/2004;31/10/2004
343;2005;27/03/2005;30/10/2005
343;2006;26/03/2006;29/10/2006
343;2007;25/03/2007;28/10/2007
343;2008;30/03/2008;26/10/2008
343;2009;29/03/2009;25/10/2009
343;2010;28/03/2010;31/10/2010
343;2011;27/03/2011;30/10/2011
343;2012;25/03/2012;28/10/2012
343;2013;31/03/2013;27/10/2013
343;2014;30/03/2014;26/10/2014
343;2015;29/03/2015;25/10/2015
343;2016;27/03/2016;30/10/2016
343;2017;26/03/2017;29/10/2017
343;2018;25/03/2018;28/10/2018
343;2019;31/03/2019;27/10/2019
343;2020;29/03/2020;25/10/2020
343;2021;28/03/2021;31/10/2021
343;2022;27/03/2022;30/10/2022
343;2023;26/03/2023;29/10/2023
343;2024;31/03/2024;27/10/2024
343;2025;30/03/2025;26/10/2025
343;2026;29/03/2026;25/10/2026
343;2027;28/03/2027;31/10/2027
343;2028;26/03/2028;29/10/2028
343;2029;25/03/2029;28/10/2029
328;2012;;
325;2012;01/01/2012;31/01/2012
