TZ_id;Country_code_A3;UTC_reference
0;CIV;0
1;GHA;0
2;ETH;3
3;DZA;1
4;ERI;3
5;MLI;0
6;CAF;1
7;GMB;0
8;GNB;0
9;MWI;2
10;COG;1
11;BDI;2
12;EGY;2
13;MAR;0
14;ESP;1
15;GIN;0
16;SEN;0
17;TZA;3
18;DJI;3
19;CMR;1
20;ESH;0
21;SLE;0
22;BWA;2
23;ZWE;2
24;ZAF;2
25;SSD;3
26;UGA;3
27;SDN;2
28;RWA;2
29;COD;1
30;NGA;1
31;GAB;1
32;TGO;0
33;AGO;1
34;COD;2
35;ZMB;2
36;GNQ;1
37;MOZ;2
38;LSO;2
39;SWZ;2
40;SOM;3
41;LBR;0
42;KEN;3
43;TCD;1
44;NER;1
45;MRT;0
46;BFA;0
47;BEN;1
48;STP;0
49;LBY;2
50;TUN;1
51;NAM;2
52;USA;-10
53;USA;-9
54;AIA;-4
55;ATG;-4
56;BRA;-3
57;ARG;-3
58;ARG;-3
59;ARG;-3
60;ARG;-3
61;ARG;-3
62;ARG;-3
63;ARG;-3
64;ARG;-3
65;ARG;-3
66;ARG;-3
67;ARG;-3
68;ARG;-3
69;ABW;-4
70;PRY;-4
71;CAN;-5
72;BRA;-3
73;MEX;-6
74;BRB;-4
75;BRA;-3
76;BLZ;-6
77;CAN;-4
78;BRA;-4
79;COL;-5
80;USA;-7
81;CAN;-7
82;BRA;-4
83;MEX;-5
84;VEN;-4
85;GUF;-3
86;CYM;-5
87;USA;-6
88;MEX;-7
89;CRI;-6
90;CAN;-7
91;BRA;-4
92;ANT;-4
93;GRL;0
94;CAN;-8
95;CAN;-7
96;USA;-7
97;USA;-5
98;DMA;-4
99;CAN;-7
100;BRA;-5
101;SLV;-6
102;CAN;-7
103;BRA;-3
104;CAN;-4
105;GRL;-3
106;CAN;-4
107;TCA;-4
108;GRD;-4
109;GLP;-4
110;GTM;-6
111;ECU;-5
112;GUY;-4
113;CAN;-4
114;CUB;-5
115;MEX;-7
116;USA;-5
117;USA;-6
118;USA;-5
119;USA;-5
120;USA;-6
121;USA;-5
122;USA;-5
123;USA;-5
124;CAN;-7
125;CAN;-5
126;JAM;-5
127;USA;-9
128;USA;-5
129;USA;-5
130;BES;-4
131;BOL;-4
132;PER;-5
133;USA;-8
134;SXM;-4
135;BRA;-3
136;NIC;-6
137;BRA;-4
138;MAF;-4
139;MTQ;-4
