Year;DST_Start;DST_End
2009;2009.03.08.02.00;2009.11.01.02.00
2010;2010.03.14.02.00;2010.11.07.02.00
2011;2011.03.13.02.00;2011.11.06.02.00
2012;2012.03.11.02.00;2012.11.04.02.00
2013;2013.03.10.02.00;2013.11.03.02.00
2014;2014.03.09.02.00;2014.11.02.02.00
2015;2015.03.08.02.00;2015.11.01.02.00
2016;2016.03.13.02.00;2016.11.06.02.00
2017;2017.03.12.02.00;2017.11.05.02.00
2018;2018.03.11.02.00;2018.11.04.02.00
2019;2019.03.10.02.00;2019.11.03.02.00
2020;2020.03.08.02.00;2020.11.01.02.00
2021;2021.03.14.02.00;2021.11.07.02.00
2022;2022.03.13.02.00;2022.11.06.02.00
2023;2023.03.12.02.00;2023.11.05.02.00
2024;2024.03.10.02.00;2024.11.03.02.00
