Weekend_type_id;Country_code_A3
1;AIR
1;SEA
1;IRN
1;AFG
1;SEN
2;SYR
2;IRQ
2;QAT
2;ARE
2;EGY
2;JOR
2;MDV
2;KWT
2;DZA
2;SDN
2;BGD
2;MRT
2;LBY
2;BHR
3;ISR
4;ABW
4;COK
4;AGO
4;AIA
4;ALB
4;ANT
4;CUB
4;ARG
4;ARM
4;ASM
4;ATG
4;AUS
4;AUT
4;AZE
4;BDI
4;BEL
4;BEN
4;BFA
4;ERI
4;BGR
4;ESP
4;BHS
4;BIH
4;BLR
4;BLZ
4;BMU
4;BOL
4;BRA
4;BRB
4;BRN
4;BTN
4;BWA
4;CAF
4;CAN
4;CHE
4;CHL
4;CHN
4;CIV
4;CMR
4;COD
4;COG
4;GRD
4;COL
4;COM
4;CPV
4;CRI
4;GUY
4;CYM
4;CYP
4;CZE
4;DEU
4;DJI
4;DMA
4;DNK
4;DOM
4;IRL
4;ECU
4;VIR
4;ISL
4;ESH
4;ITA
4;EST
4;ETH
4;FIN
4;FJI
4;FLK
4;FRA
4;FRO
4;FSM
4;GAB
4;GBR
4;GEO
4;GGY
4;GHA
4;GIB
4;GIN
4;GLP
4;GMB
4;GNB
4;GNQ
4;GRC
4;LUX
4;GRL
4;GTM
4;GUF
4;GUM
4;MDG
4;HKG
4;HND
4;HRV
4;HTI
4;HUN
4;IDN
4;IMN
4;IND
4;MNP
4;MOZ
4;KNA
4;MSR
4;MTQ
4;MUS
4;JAM
4;JEY
4;MYT
4;JPN
4;KAZ
4;KEN
4;KGZ
4;KHM
4;KIR
4;MAC
4;KOR
4;NOR
4;LAO
4;LBN
4;LBR
4;TGO
4;LCA
4;LKA
4;LSO
4;LTU
4;PHL
4;LVA
4;SCG
4;MAR
4;MDA
4;PRK
4;PRT
4;MEX
4;MHL
4;MKD
4;MLI
4;MLT
4;MMR
4;MNG
4;VEN
4;NIC
4;NIU
4;VNM
4;SGP
4;SHN
4;MWI
4;MYS
4;SLV
4;NAM
4;NCL
4;NER
4;NFK
4;NGA
4;PLW
4;PNG
4;NLD
4;SYC
4;NPL
4;NRU
4;NZL
4;PYF
4;THA
4;PAN
4;PCN
4;PER
4;TLS
4;SVK
4;VGB
4;POL
4;PRI
4;TUV
4;TWN
4;PRY
4;SLE
4;UKR
4;REU
4;ROU
4;RUS
4;RWA
4;VCT
4;SVN
4;SWE
4;SWZ
4;VUT
4;WLF
4;SLB
4;TCD
4;ZAF
4;SOM
4;SPM
4;STP
4;SUR
4;TUR
4;TON
4;TTO
4;TUN
4;UGA
4;UZB
4;TCA
4;TZA
4;TKM
4;ZWE
4;TJK
4;TKL
4;WSM
4;URY
4;USA
4;ZMB
5;PAK
6;SAU
6;YEM
6;OMN
