Country_code_A3;activity_code;Weekday_id;daily_factor
ABW;ENE;3;0.151601755
ABW;TRF;3;0.151601755
ABW;ENE;4;0.151634986
ABW;TRF;4;0.151634986
ABW;ENE;6;0.130267181
ABW;TRF;6;0.130267181
ABW;ENE;7;0.120397448
ABW;TRF;7;0.120397448
ABW;ENE;2;0.148577695
ABW;TRF;2;0.148577695
ABW;ENE;5;0.150139572
ABW;TRF;5;0.150139572
ABW;ENE;1;0.147381364
ABW;TRF;1;0.147381364
ABW;SOL;4;0.173461922
ABW;SOL;7;0.04469571
ABW;SOL;2;0.173129365
ABW;SOL;1;0.173129365
ABW;SOL;5;0.173129365
ABW;SOL;6;0.088759561
ABW;SOL;3;0.173694712
ABW;NEU;3;0.151601755
ABW;NEU;2;0.148577695
ABW;NEU;6;0.130267181
ABW;NEU;1;0.147381364
ABW;NEU;4;0.151634986
ABW;NEU;5;0.150139572
ABW;NEU;7;0.120397448
ABW;MNM;2;0.141607927
ABW;AGS;2;0.141607927
ABW;ENF;2;0.141607927
ABW;N2O;2;0.141607927
ABW;AWB;2;0.141607927
ABW;MNM;3;0.141607927
ABW;AGS;3;0.141607927
ABW;ENF;3;0.141607927
ABW;N2O;3;0.141607927
ABW;AWB;3;0.141607927
ABW;MNM;6;0.142040165
ABW;AGS;6;0.142040165
ABW;ENF;6;0.142040165
ABW;N2O;6;0.142040165
ABW;AWB;6;0.142040165
ABW;MNM;1;0.14297114
ABW;AGS;1;0.14297114
ABW;ENF;1;0.14297114
ABW;N2O;1;0.14297114
ABW;AWB;1;0.14297114
ABW;MNM;4;0.14297114
ABW;AGS;4;0.14297114
ABW;ENF;4;0.14297114
ABW;N2O;4;0.14297114
ABW;AWB;4;0.14297114
ABW;MNM;5;0.144467349
ABW;AGS;5;0.144467349
ABW;ENF;5;0.144467349
ABW;N2O;5;0.144467349
ABW;AWB;5;0.144467349
ABW;MNM;7;0.144334353
ABW;AGS;7;0.144334353
ABW;ENF;7;0.144334353
ABW;N2O;7;0.144334353
ABW;AWB;7;0.144334353
ABW;SWD;6;0.142857143
ABW;WWT;6;0.142857143
ABW;SWD;2;0.142857143
ABW;WWT;2;0.142857143
ABW;SWD;5;0.142857143
ABW;WWT;5;0.142857143
ABW;SWD;7;0.142857143
ABW;WWT;7;0.142857143
ABW;SWD;1;0.142857143
ABW;WWT;1;0.142857143
ABW;SWD;4;0.142857143
ABW;WWT;4;0.142857143
ABW;SWD;3;0.142857143
ABW;WWT;3;0.142857143
ABW;FFF;7;0.142857143
ABW;FFF;1;0.142857143
ABW;FFF;4;0.142857143
ABW;FFF;3;0.142857143
ABW;FFF;2;0.142857143
ABW;FFF;6;0.142857143
ABW;FFF;5;0.142857143
ABW;IDE;4;0.142857143
ABW;BMB;4;0.142857143
ABW;HYD;4;0.142857143
ABW;CLM;4;0.142857143
ABW;CSC;4;0.142857143
ABW;IDE;6;0.142857143
ABW;BMB;6;0.142857143
ABW;HYD;6;0.142857143
ABW;CLM;6;0.142857143
ABW;CSC;6;0.142857143
ABW;IDE;3;0.142857143
ABW;BMB;3;0.142857143
ABW;HYD;3;0.142857143
ABW;CLM;3;0.142857143
ABW;CSC;3;0.142857143
ABW;IDE;7;0.142857143
ABW;BMB;7;0.142857143
ABW;HYD;7;0.142857143
ABW;CLM;7;0.142857143
ABW;CSC;7;0.142857143
ABW;IDE;1;0.142857143
ABW;BMB;1;0.142857143
ABW;HYD;1;0.142857143
ABW;CLM;1;0.142857143
ABW;CSC;1;0.142857143
ABW;IDE;5;0.142857143
ABW;BMB;5;0.142857143
ABW;HYD;5;0.142857143
ABW;CLM;5;0.142857143
ABW;CSC;5;0.142857143
ABW;IDE;2;0.142857143
ABW;BMB;2;0.142857143
ABW;HYD;2;0.142857143
ABW;CLM;2;0.142857143
ABW;CSC;2;0.142857143
ABW;IND;4;0.153350387
ABW;IND;2;0.154114481
ABW;IND;7;0.115843327
ABW;IND;1;0.152785622
ABW;IND;5;0.153815488
ABW;IND;6;0.11544467
ABW;IND;3;0.154646025
ABW;NMM;7;0.115843327
ABW;NMM;6;0.11544467
ABW;NMM;5;0.153815488
ABW;NMM;1;0.152785622
ABW;NMM;3;0.154646025
ABW;NMM;4;0.153350387
ABW;NMM;2;0.154114481
ABW;PRU;3;0.154646025
ABW;CHE;3;0.154646025
ABW;PAP;3;0.154646025
ABW;FOO;3;0.154646025
ABW;PRO;3;0.154646025
ABW;PRU;7;0.115843327
ABW;CHE;7;0.115843327
ABW;PAP;7;0.115843327
ABW;FOO;7;0.115843327
ABW;PRO;7;0.115843327
ABW;PRU;6;0.11544467
ABW;CHE;6;0.11544467
ABW;PAP;6;0.11544467
ABW;FOO;6;0.11544467
ABW;PRO;6;0.11544467
ABW;PRU;4;0.153350387
ABW;CHE;4;0.153350387
ABW;PAP;4;0.153350387
ABW;FOO;4;0.153350387
ABW;PRO;4;0.153350387
ABW;PRU;2;0.154114481
ABW;CHE;2;0.154114481
ABW;PAP;2;0.154114481
ABW;FOO;2;0.154114481
ABW;PRO;2;0.154114481
ABW;PRU;1;0.152785622
ABW;CHE;1;0.152785622
ABW;PAP;1;0.152785622
ABW;FOO;1;0.152785622
ABW;PRO;1;0.152785622
ABW;PRU;5;0.153815488
ABW;CHE;5;0.153815488
ABW;PAP;5;0.153815488
ABW;FOO;5;0.153815488
ABW;PRO;5;0.153815488
ABW;NFE;1;0.152785622
ABW;IRO;1;0.152785622
ABW;TRF;1;0.152785622
ABW;NFE;7;0.115843327
ABW;IRO;7;0.115843327
ABW;TRF;7;0.115843327
ABW;NFE;6;0.11544467
ABW;IRO;6;0.11544467
ABW;TRF;6;0.11544467
ABW;NFE;5;0.153815488
ABW;IRO;5;0.153815488
ABW;TRF;5;0.153815488
ABW;NFE;3;0.154646025
ABW;IRO;3;0.154646025
ABW;TRF;3;0.154646025
ABW;NFE;4;0.153350387
ABW;IRO;4;0.153350387
ABW;TRF;4;0.153350387
ABW;NFE;2;0.154114481
ABW;IRO;2;0.154114481
ABW;TRF;2;0.154114481
ABW;TNR;7;0.142857143
ABW;TNR;5;0.142857143
ABW;TNR;6;0.142857143
ABW;TNR;4;0.142857143
ABW;TNR;1;0.142857143
ABW;TNR;3;0.142857143
ABW;TNR;2;0.142857143
ABW;TRO;1;0.148287205
ABW;TRO;3;0.146493006
ABW;TRO;2;0.144599129
ABW;TRO;7;0.128318437
ABW;TRO;5;0.158022394
ABW;TRO;6;0.126922949
ABW;TRO;4;0.147356879
ABW;TNR;1;0.148287205
ABW;TNR;2;0.144599129
ABW;TNR;6;0.126922949
ABW;TNR;3;0.146493006
ABW;TNR;5;0.158022394
ABW;TNR;4;0.147356879
ABW;TNR;7;0.128318437
ABW;RCO;1;0.14702753
ABW;RCO;7;0.144001862
ABW;RCO;5;0.142173161
ABW;RCO;6;0.139014497
ABW;RCO;3;0.142771645
ABW;RCO;4;0.141341934
ABW;RCO;2;0.143669371
ABW;REF;1;0.142857143
ABW;PRO;1;0.142857143
ABW;REF;7;0.142857143
ABW;PRO;7;0.142857143
ABW;REF;5;0.142857143
ABW;PRO;5;0.142857143
ABW;REF;6;0.142857143
ABW;PRO;6;0.142857143
ABW;REF;3;0.142857143
ABW;PRO;3;0.142857143
ABW;REF;4;0.142857143
ABW;PRO;4;0.142857143
ABW;REF;2;0.142857143
ABW;PRO;2;0.142857143
AFG;ENE;3;0.148213125
AFG;TRF;3;0.148213125
AFG;ENE;1;0.14408707
AFG;TRF;1;0.14408707
AFG;ENE;4;0.148245614
AFG;TRF;4;0.148245614
AFG;ENE;6;0.148245614
AFG;TRF;6;0.148245614
AFG;ENE;2;0.14525666
AFG;TRF;2;0.14525666
AFG;ENE;5;0.117706303
AFG;TRF;5;0.117706303
AFG;ENE;7;0.148245614
AFG;TRF;7;0.148245614
AFG;SOL;4;0.159867594
AFG;SOL;6;0.159867594
AFG;SOL;1;0.1595611
AFG;SOL;3;0.160082141
AFG;SOL;5;0.041192877
AFG;SOL;2;0.1595611
AFG;SOL;7;0.159867594
AFG;NEU;4;0.148245614
AFG;NEU;2;0.14525666
AFG;NEU;7;0.148245614
AFG;NEU;6;0.148245614
AFG;NEU;5;0.117706303
AFG;NEU;3;0.148213125
AFG;NEU;1;0.14408707
AFG;AGS;1;0.143051998
AFG;ENF;1;0.143051998
AFG;MNM;1;0.143051998
AFG;AWB;1;0.143051998
AFG;N2O;1;0.143051998
AFG;AGS;2;0.141688014
AFG;ENF;2;0.141688014
AFG;MNM;2;0.141688014
AFG;AWB;2;0.141688014
AFG;N2O;2;0.141688014
AFG;AGS;4;0.143051998
AFG;ENF;4;0.143051998
AFG;MNM;4;0.143051998
AFG;AWB;4;0.143051998
AFG;N2O;4;0.143051998
AFG;AGS;7;0.143051998
AFG;ENF;7;0.143051998
AFG;MNM;7;0.143051998
AFG;AWB;7;0.143051998
AFG;N2O;7;0.143051998
AFG;AGS;6;0.143051998
AFG;ENF;6;0.143051998
AFG;MNM;6;0.143051998
AFG;AWB;6;0.143051998
AFG;N2O;6;0.143051998
AFG;AGS;3;0.141688014
AFG;ENF;3;0.141688014
AFG;MNM;3;0.141688014
AFG;AWB;3;0.141688014
AFG;N2O;3;0.141688014
AFG;AGS;5;0.144415982
AFG;ENF;5;0.144415982
AFG;MNM;5;0.144415982
AFG;AWB;5;0.144415982
AFG;N2O;5;0.144415982
AFG;SWD;6;0.142857143
AFG;WWT;6;0.142857143
AFG;SWD;5;0.142857143
AFG;WWT;5;0.142857143
AFG;SWD;4;0.142857143
AFG;WWT;4;0.142857143
AFG;SWD;1;0.142857143
AFG;WWT;1;0.142857143
AFG;SWD;3;0.142857143
AFG;WWT;3;0.142857143
AFG;SWD;7;0.142857143
AFG;WWT;7;0.142857143
AFG;SWD;2;0.142857143
AFG;WWT;2;0.142857143
AFG;FFF;3;0.142857143
AFG;FFF;4;0.142857143
AFG;FFF;7;0.142857143
AFG;FFF;5;0.142857143
AFG;FFF;6;0.142857143
AFG;FFF;1;0.142857143
AFG;FFF;2;0.142857143
AFG;BMB;4;0.142857143
AFG;IDE;4;0.142857143
AFG;CLM;4;0.142857143
AFG;CSC;4;0.142857143
AFG;HYD;4;0.142857143
AFG;BMB;3;0.142857143
AFG;IDE;3;0.142857143
AFG;CLM;3;0.142857143
AFG;CSC;3;0.142857143
AFG;HYD;3;0.142857143
AFG;BMB;7;0.142857143
AFG;IDE;7;0.142857143
AFG;CLM;7;0.142857143
AFG;CSC;7;0.142857143
AFG;HYD;7;0.142857143
AFG;BMB;1;0.142857143
AFG;IDE;1;0.142857143
AFG;CLM;1;0.142857143
AFG;CSC;1;0.142857143
AFG;HYD;1;0.142857143
AFG;BMB;5;0.142857143
AFG;IDE;5;0.142857143
AFG;CLM;5;0.142857143
AFG;CSC;5;0.142857143
AFG;HYD;5;0.142857143
AFG;BMB;6;0.142857143
AFG;IDE;6;0.142857143
AFG;CLM;6;0.142857143
AFG;CSC;6;0.142857143
AFG;HYD;6;0.142857143
AFG;BMB;2;0.142857143
AFG;IDE;2;0.142857143
AFG;CLM;2;0.142857143
AFG;CSC;2;0.142857143
AFG;HYD;2;0.142857143
AFG;IND;2;0.148552581
AFG;IND;1;0.147271679
AFG;IND;4;0.147816063
AFG;IND;7;0.147816063
AFG;IND;6;0.147816063
AFG;IND;3;0.149064942
AFG;IND;5;0.11166261
AFG;NMM;5;0.11166261
AFG;NMM;4;0.147816063
AFG;NMM;1;0.147271679
AFG;NMM;6;0.147816063
AFG;NMM;7;0.147816063
AFG;NMM;3;0.149064942
AFG;NMM;2;0.148552581
AFG;PRO;6;0.147816063
AFG;PRU;6;0.147816063
AFG;CHE;6;0.147816063
AFG;PAP;6;0.147816063
AFG;FOO;6;0.147816063
AFG;PRO;7;0.147816063
AFG;PRU;7;0.147816063
AFG;CHE;7;0.147816063
AFG;PAP;7;0.147816063
AFG;FOO;7;0.147816063
AFG;PRO;5;0.11166261
AFG;PRU;5;0.11166261
AFG;CHE;5;0.11166261
AFG;PAP;5;0.11166261
AFG;FOO;5;0.11166261
AFG;PRO;2;0.148552581
AFG;PRU;2;0.148552581
AFG;CHE;2;0.148552581
AFG;PAP;2;0.148552581
AFG;FOO;2;0.148552581
AFG;PRO;3;0.149064942
AFG;PRU;3;0.149064942
AFG;CHE;3;0.149064942
AFG;PAP;3;0.149064942
AFG;FOO;3;0.149064942
AFG;PRO;1;0.147271679
AFG;PRU;1;0.147271679
AFG;CHE;1;0.147271679
AFG;PAP;1;0.147271679
AFG;FOO;1;0.147271679
AFG;PRO;4;0.147816063
AFG;PRU;4;0.147816063
AFG;CHE;4;0.147816063
AFG;PAP;4;0.147816063
AFG;FOO;4;0.147816063
AFG;IRO;3;0.149064942
AFG;NFE;3;0.149064942
AFG;TRF;3;0.149064942
AFG;IRO;1;0.147271679
AFG;NFE;1;0.147271679
AFG;TRF;1;0.147271679
AFG;IRO;2;0.148552581
AFG;NFE;2;0.148552581
AFG;TRF;2;0.148552581
AFG;IRO;7;0.147816063
AFG;NFE;7;0.147816063
AFG;TRF;7;0.147816063
AFG;IRO;6;0.147816063
AFG;NFE;6;0.147816063
AFG;TRF;6;0.147816063
AFG;IRO;4;0.147816063
AFG;NFE;4;0.147816063
AFG;TRF;4;0.147816063
AFG;IRO;5;0.11166261
AFG;NFE;5;0.11166261
AFG;TRF;5;0.11166261
AFG;TNR;7;0.142857143
AFG;TNR;6;0.142857143
AFG;TNR;1;0.142857143
AFG;TNR;4;0.142857143
AFG;TNR;5;0.142857143
AFG;TNR;3;0.142857143
AFG;TNR;2;0.142857143
AFG;TRO;3;0.145075845
AFG;TRO;2;0.14320029
AFG;TRO;1;0.146852687
AFG;TRO;4;0.145931361
AFG;TRO;6;0.145931361
AFG;TRO;7;0.145931361
AFG;TRO;5;0.127077095
AFG;TNR;2;0.14320029
AFG;TNR;5;0.127077095
AFG;TNR;7;0.145931361
AFG;TNR;6;0.145931361
AFG;TNR;1;0.146852687
AFG;TNR;4;0.145931361
AFG;TNR;3;0.145075845
AFG;RCO;1;0.146807875
AFG;RCO;5;0.143786727
AFG;RCO;3;0.142558348
AFG;RCO;7;0.141130773
AFG;RCO;4;0.141130773
AFG;RCO;2;0.143454733
AFG;RCO;6;0.141130773
AFG;REF;1;0.142857143
AFG;PRO;1;0.142857143
AFG;REF;5;0.142857143
AFG;PRO;5;0.142857143
AFG;REF;3;0.142857143
AFG;PRO;3;0.142857143
AFG;REF;7;0.142857143
AFG;PRO;7;0.142857143
AFG;REF;4;0.142857143
AFG;PRO;4;0.142857143
AFG;REF;2;0.142857143
AFG;PRO;2;0.142857143
AFG;REF;6;0.142857143
AFG;PRO;6;0.142857143
AGO;TRF;1;0.147381364
AGO;ENE;1;0.147381364
AGO;TRF;3;0.151601755
AGO;ENE;3;0.151601755
AGO;TRF;7;0.120397448
AGO;ENE;7;0.120397448
AGO;TRF;6;0.130267181
AGO;ENE;6;0.130267181
AGO;TRF;4;0.151634986
AGO;ENE;4;0.151634986
AGO;TRF;5;0.150139572
AGO;ENE;5;0.150139572
AGO;TRF;2;0.148577695
AGO;ENE;2;0.148577695
AGO;SOL;4;0.173461922
AGO;SOL;1;0.173129365
AGO;SOL;6;0.088759561
AGO;SOL;5;0.173129365
AGO;SOL;2;0.173129365
AGO;SOL;7;0.04469571
AGO;SOL;3;0.173694712
AGO;NEU;4;0.151634986
AGO;NEU;7;0.120397448
AGO;NEU;6;0.130267181
AGO;NEU;2;0.148577695
AGO;NEU;3;0.151601755
AGO;NEU;1;0.147381364
AGO;NEU;5;0.150139572
